location,Latitude,Longitude
"Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.0675496,55.203833
"Maple 2, Maple, Dubai Hills Estate, Dubai",25.0982319,55.2534124
"Condor Castle, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.065054,55.2057745
"Executive Residences 2, Executive Residences, Dubai Hills Estate, Dubai",25.2048493,55.2707828
"Sunrise Legend, Arjan, Dubai",25.0676539,55.2378932
"Act One, Act One | Act Two Towers, Opera District, Downtown Dubai, Dubai",25.1928405,55.2713423
"Mediterranean Villas, JVT District 5, Jumeirah Village Triangle (JVT), Dubai",25.0472882,55.1900227
"Th8, The Crescent, Palm Jumeirah, Dubai",25.1181484,55.1102684
"Bunyan Tower, Dubai Marina, Dubai",25.0822426,55.1474564
"The Meadows 1, The Meadows, Dubai",25.2048493,55.2707828
"Golf Grove, Dubai Hills Estate, Dubai",25.1151269,55.2745412
"Carson Tower B, Carson - The Drive, DAMAC Hills, Dubai",25.0245455,55.2431504
"Jumeirah Bay X1, JLT Cluster X (Jumeirah Bay Towers), Jumeirah Lake Towers (JLT), Dubai",25.0806891,55.152779
"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",25.1870676,55.2758253
"The Lofts Podium, The Lofts, Downtown Dubai, Dubai",25.1970227,55.2698915
"Seventh Heaven, Al Barari, Dubai",25.0990347,55.3168404
"Al Waleed Paradise, JLT Cluster R, Jumeirah Lake Towers (JLT), Dubai",25.0774902,55.1470113
"Address Harbour Point, Dubai Creek Harbour, Dubai",25.2078973,55.3432645
"Sidra 1, Sidra Villas, Dubai Hills Estate, Dubai",25.0932626,55.2504048
"Capital Bay Tower A, Capital Bay Towers, Business Bay, Dubai",25.1767054,55.2721529
"Maple 3, Maple, Dubai Hills Estate, Dubai",25.1057648,55.2553085
"Dubai Creek Residence Tower 1 South, Dubai Creek Residences, Dubai Creek Harbour, Dubai",25.1945448,55.3641298
"Binghatti Gate, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.062582,55.199362
"Golf Suites, Dubai Hills Estate, Dubai",25.1234954,55.2604647
"Al Multaqa Avenue, Mirdif Hills, Mirdif, Dubai",25.2224975,55.4412602
"Rawda Apartments 2, Rawda Apartments, Town Square, Dubai",25.0002811,55.2922053
"Pantheon Elysee, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0601975,55.2093505
"Vida Residence Downtown, Downtown Dubai, Dubai",25.1903681,55.2730397
"Hartland Waves, Sobha Hartland, Dubai",25.1745357,55.3095321
"Marina Wharf II, Marina Wharf, Dubai Marina, Dubai",25.0723187,55.1324073
"Palazzo Versace, Culture Village, Dubai",25.2273686,55.3418018
"The Address Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai",25.1948261,55.2828596
"The Atlantic, Dubai Marina, Dubai",25.0782641,55.140127
"V3 Tower, JLT Cluster V, Jumeirah Lake Towers (JLT), Dubai",25.0780937,55.1517133
"Al Fairooz Tower, Dubai Marina Towers (Emaar 6 Towers), Dubai Marina, Dubai",25.0749822,55.1330055
"The Springs 14, The Springs, Dubai",25.0514548,55.1741495
"Golf Tower 2, Golf Tower, The Views, Dubai",25.0913861,55.1686722
"Summer 1 Block A, Summer, Seasons Community, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.0594186,55.2027924
"17 Icon Bay, Dubai Creek Harbour, Dubai",25.2039806,55.3457334
"Millennium Binghatti Residences, Business Bay, Dubai",25.1805314,55.2689479
"Marina Pinnacle, Dubai Marina, Dubai",25.0886968,55.1481894
"Rasha, Arabian Ranches 2, Dubai",25.034693,55.2703259
"La Cote Tower 1, La Cote, Port De La Mer, La Mer, Jumeirah, Dubai",25.2201105,55.2563077
"Reef Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0475134,55.2108897
"Bella Rose, Dubai Science Park, Dubai",25.070378,55.2452482
"G24 Tower, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25.0678676,55.2150508
"Residences 16, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai",25.1663758,55.2766574
"Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC), Dubai",25.057719,55.1992667
"Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.0655477,55.2069901
"Hyati Avenue, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0460964,55.2018004
"Maeen 4, Maeen, The Lakes, Dubai",25.0827991,55.1704095
"Silverene Tower A, Silverene, Dubai Marina, Dubai",25.075271,55.1378421
"Beach Vista 1, Beach Vista, Emaar Beachfront, Dubai Harbour, Dubai",25.0981282,55.1397625
"Lake Terrace, JLT Cluster D, Jumeirah Lake Towers (JLT), Dubai",25.0701718,55.1411186
"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",25.1128753,55.2471341
"Binghatti Creek, Al Jaddaf, Dubai",25.2123114,55.3191168
"DAMAC Heights, Dubai Marina, Dubai",25.08728,55.145627
"Dickens Circus 1, Dickens Circus, Uptown Motor City, Motor City, Dubai",25.0430976,55.245982
"Al Reem 3, Al Reem, Arabian Ranches, Dubai",25.0585254,55.2926931
"Club Villas, Dubai Hills Estate, Dubai",25.2048493,55.2707828
"Al Sarrood, Shoreline Apartments, Palm Jumeirah, Dubai",25.1119239,55.1425695
"Marina Heights Tower, Dubai Marina, Dubai",25.0872463,55.1481948
"Park Vista, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25.0516132,55.209039
"Madina Tower, JLT Cluster O, Jumeirah Lake Towers (JLT), Dubai",25.0742818,55.1438961
"Lawnz by Danube Block 4, Lawnz by Danube, International City, Dubai",25.153254,55.4104605
"Oceana Caribbean, Oceana, Palm Jumeirah, Dubai",25.1111049,55.1365682
"Elite Downtown Residence, Downtown Dubai, Dubai",25.1860802,55.2783379
"Spirit Tower, Dubai Sports City, Dubai",25.0402912,55.2184274
"Dubai Creek Residence Tower 1 North, Dubai Creek Residences, Dubai Creek Harbour, Dubai",25.2062252,55.3439402
"Burj Views C, Burj Views, Downtown Dubai, Dubai",25.1907543,55.2814412
"Burj Royale, Downtown Dubai, Dubai",25.1916802,55.2801754
"Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25.0666071,55.202942
"Boulevard Crescent Tower 1, Boulevard Crescent Towers, Downtown Dubai, Dubai",25.1914041,55.2704724
"Azizi Riviera 11, Azizi Riviera, Meydan One, Meydan City, Dubai",25.171373,55.3019366
"Ice Hockey Tower, Dubai Sports City, Dubai",25.0422068,55.2058242
"Noor Townhouses, Town Square, Dubai",24.9960032,55.2961802
"The Fairways East, The Fairways, The Views, Dubai",25.0894273,55.1708615
"Jumeirah Luxury, Jumeirah Golf Estates, Dubai",25.0205006,55.2086223
"Botanica Tower, Dubai Marina, Dubai",25.0850426,55.1424596
"Deema 4, Deema, The Lakes, Dubai",25.0771641,55.1724243
"Palmera 1, Palmera, Arabian Ranches, Dubai",25.0420375,55.2641886
"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",25.1769069,55.3107258
"Rockwood, The Park Villas, DAMAC Hills, Dubai",25.0260254,55.2515138
"Al Salam, Mudon, Dubai",25.0234353,55.2716551
"Cayan Tower, Dubai Marina, Dubai",25.0867159,55.1451453
"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai",25.1984429,55.2707577
"The Springs 3, The Springs, Dubai",25.0589682,55.178139
"Naseem Townhouses, Town Square, Dubai",25.0147235,55.2847571
"Nasma Residence, Al Tai, Sharjah",25.2450186,55.5927613
"The Address Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",25.1948261,55.2828596
"Roxana Residence C, Roxana Residences, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.0577358,55.2171172
"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",25.1911669,55.2698645
"Mira 5, Mira, Reem, Dubai",25.0589782,55.2957196
"Regina Tower, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25.057312,55.2125688
"Boulevard Central 1, Boulevard Central, Downtown Dubai, Dubai",25.191536,55.273404
"Azure Residences, Palm Jumeirah, Dubai",25.1069979,55.1526539
"Elan, Tilal Al Ghaf, Dubai",25.0272602,55.2341457
"Diamond Views I, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25.0527366,55.2025105
"Harbour Gate Tower 2, Harbour Gate, Dubai Creek Harbour, Dubai",25.2070985,55.3473598
"District 9, Jumeirah Park, Dubai",25.0471279,55.1555195
"Legacy, Jumeirah Park, Dubai",25.0471279,55.1555195
"Acacia C, Acacia, Park Heights, Dubai Hills Estate, Dubai",25.1129375,55.2463678
"Crystal Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25.0668071,55.2149738
"The Springs 7, The Springs, Dubai",25.0636292,55.1907129
